json_path,git_sha,device,num_leaves,fanout,chunk_len,dim,target_leaf_index,mamba_layers,tf_layers,tf_nhead,ff_mult,wikitext_config,chars_per_leaf,mamba_ok,mamba_wall_s,mamba_peak_alloc_mib,mamba_snapshots_taken,mamba_rollbacks,mamba_leaf_checks,tf_kv_clone_ok,tf_kv_clone_wall_s,tf_kv_clone_peak_alloc_mib,tf_kv_clone_kv_nbytes_at_end,tf_kv_truncate_ok,tf_kv_truncate_wall_s,tf_kv_truncate_peak_alloc_mib,tf_kv_truncate_kv_nbytes_at_end,tf_kv_truncate_kv_calls,l3_clone_cosine,l3_truncate_cosine,l3_clone_ce_nav,l3_clone_ce_ref,l3_clone_ce_abs_delta,l3_truncate_ce_nav,l3_truncate_ce_ref,l3_truncate_ce_abs_delta,kind
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n16_cuda_3arm_20260410T1012Z.json,6fa7873,cuda,16,2,8,128,15,2,2,8,4,wikitext-2-raw-v1,600,True,0.7825564,130.103027,15,26,16,True,0.11776245,27.900879,81920,True,0.06945058,27.744629,81920,30,,,,,,,,,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n16_cuda_3arm_20260410T1133Z.json,6fa7873,cuda,16,2,8,128,15,2,2,8,4,wikitext-2-raw-v1,600,True,0.77407724,130.103027,15,26,16,True,0.1084079,27.904785,81920,True,0.06583962,27.748535,81920,30,,,2.64491892,2.64491892,0.0,2.70845413,2.70845413,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n16_cuda_3arm_20260410T1247Z.json,6fa7873,cuda,16,2,8,128,15,2,2,8,4,wikitext-2-raw-v1,600,True,0.74010992,130.103027,15,26,16,True,0.11124734,27.904785,81920,True,0.06726222,27.748535,81920,30,,,2.48011422,2.48011422,0.0,2.62995863,2.62995863,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n32_cuda_3arm_20260410T1012Z.json,6fa7873,cuda,32,2,8,128,31,2,2,8,4,wikitext-2-raw-v1,600,True,1.2111796,130.228027,31,57,32,True,0.18462238,28.127441,98304,True,0.13176075,27.893066,98304,62,,,,,,,,,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n32_cuda_3arm_20260410T1133Z.json,6fa7873,cuda,32,2,8,128,31,2,2,8,4,wikitext-2-raw-v1,600,True,1.21962177,130.228027,31,57,32,True,0.18290242,28.131348,98304,True,0.14194741,27.896973,98304,62,,,3.43042827,3.43042827,0.0,3.48891234,3.48891234,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n32_cuda_3arm_20260410T1247Z.json,6fa7873,cuda,32,2,8,128,31,2,2,8,4,wikitext-2-raw-v1,600,True,1.15959905,130.228027,31,57,32,True,0.17513375,28.131348,98304,True,0.12933709,27.896973,98304,62,,,3.56018972,3.56018972,0.0,3.5007329,3.5007329,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n64_cuda_3arm_20260410T1235Z.json,6fa7873,cuda,64,2,8,128,63,2,2,8,4,wikitext-2-raw-v1,600,True,2.03434152,130.478027,63,120,64,True,0.31142475,28.499512,114688,True,0.26476383,28.171387,114688,126,,,,,,,,,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n64_cuda_3arm_20260410T1247Z.json,6fa7873,cuda,64,2,8,128,63,2,2,8,4,wikitext-2-raw-v1,600,True,2.01260272,130.478027,63,120,64,True,0.31055966,28.499512,114688,True,0.26588547,28.171387,114688,126,,,4.17666769,4.17666769,0.0,4.25173712,4.25173712,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n8_cuda_3arm_20260410T1012Z.json,6fa7873,cuda,8,2,8,128,7,2,2,8,4,wikitext-2-raw-v1,600,True,0.54612366,130.040527,7,11,8,True,0.08130977,27.751465,65536,True,0.03772833,27.657715,65536,14,,,,,,,,,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n8_cuda_3arm_20260410T1113Z.json,6fa7873,cuda,8,2,8,128,7,2,2,8,4,wikitext-2-raw-v1,600,True,0.50673495,130.040527,7,11,8,True,0.07376553,27.755371,65536,True,0.03086565,27.661621,65536,14,,,2.1212821,2.1212821,0.0,2.22378659,2.22378659,0.0,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n8_cuda_3arm_20260410T1244Z.json,6fa7873,cuda,8,2,8,128,7,2,2,8,4,wikitext-2-raw-v1,600,True,0.51361128,130.040527,7,11,8,True,0.07401572,27.755371,65536,True,0.03146623,27.661621,65536,14,0.99999988,0.99999994,,,,,,,ssgs_vs_kv_tree_nav_wikitext
/root/autodl-tmp/mamba2_results/metrics_result/ssgs_vs_kv_tree_nav_wikitext_n8_cuda_3arm_20260410T1247Z.json,6fa7873,cuda,8,2,8,128,7,2,2,8,4,wikitext-2-raw-v1,600,True,0.51521777,130.040527,7,11,8,True,0.07357504,27.755371,65536,True,0.03080886,27.661621,65536,14,,,2.1630013,2.1630013,0.0,2.20563912,2.20563912,0.0,ssgs_vs_kv_tree_nav_wikitext
